farm,region,dd_lat,dd_long,manual_x
Humphrey_Rock,Broughton,50.698633,-126.2538333,-20
Humphrey_Rock,Broughton,50.69873333,-126.2535333,-44.6
Humphrey_Rock,Broughton,50.69901667,-126.253,-93.72
Humphrey_Rock,Broughton,50.69626667,-126.2585333,20
Humphrey_Rock,Broughton,50.69608333,-126.2588167,45.76
Humphrey_Rock,Broughton,50.69576667,-126.25925,135.52
Humphrey_Rock,Broughton,50.69508333,-126.26,311.72
Humphrey_Rock,Broughton,50.69353333,-126.2608167,512.26
Humphrey_Rock,Broughton,50.69171667,-126.26035,788.99
Humphrey_Rock,Broughton,50.69918333,-126.2514167,-206.58
Humphrey_Rock,Broughton,50.69975,-126.2488667,-399.21
Humphrey_Rock,Broughton,50.70068333,-126.24585,-637.42
Humphrey_Rock,Broughton,50.70193333,-126.2424333,-916.85
Humphrey_Rock,Broughton,50.70338333,-126.2392667,-1196.19
Humphrey_Rock,Broughton,50.70616667,-126.2363167,-1586.82
Humphrey_Rock,Broughton,50.71026667,-126.2370333,-2060.77
Humphrey_Rock,Broughton,50.71766667,-126.2367667,-2898.52
Humphrey_Rock,Broughton,50.72443333,-126.2201,-4301.42
Humphrey_Rock,Broughton,50.68918333,-126.2605833,1060.87
Humphrey_Rock,Broughton,50.68588333,-126.26,1429.76
Humphrey_Rock,Broughton,50.68206667,-126.2574333,1901.67
Humphrey_Rock,Broughton,50.67588333,-126.25135,2710.4
Humphrey_Rock,Broughton,50.6676,-126.2541333,3653.75
Humphrey_Rock,Broughton,50.65613333,-126.26585,5180.49
Swanson,Broughton,50.6176,-126.7019667,-20
Swanson,Broughton,50.61735,-126.7013833,-70.26
Swanson,Broughton,50.6172,-126.7000167,-168.71
Swanson,Broughton,50.6169,-126.6974167,-355.2
Swanson,Broughton,50.617472,126.685111,-600.03
Swanson,Broughton,50.618,126.684444,-895.92
Swanson,Broughton,50.6192,-126.6850833,-1269.53
Swanson,Broughton,50.6199,-126.7074167,20
Swanson,Broughton,50.62001667,-126.70775,49.07
Swanson,Broughton,50.62036667,-126.7082,102.56
Swanson,Broughton,50.62108333,-126.7088833,198.73
Swanson,Broughton,50.62251667,-126.7099,377.03
Swanson,Broughton,50.62431667,-126.7114667,601.61
Swanson,Broughton,50.62668333,-126.7129667,901.77
Swanson,Broughton,50.6192,-126.6850833,-1726.2
Swanson,Broughton,50.62111667,-126.6794167,-2553.34
Swanson,Broughton,50.62536667,-126.6701833,-3514.05
Swanson,Broughton,50.62841667,-126.6576,-5003.45
Swanson,Broughton,50.63103333,-126.6369333,-6703.45
Swanson,Broughton,50.629,-126.7175,1317.08
Swanson,Broughton,50.6292,-126.724,1775.11
Swanson,Broughton,50.63046667,-126.73365,2477.21
Midsummer,Broughton,50.65716667,-126.6651667,-20
Midsummer,Broughton,50.6574,-126.6648,-59.42
Midsummer,Broughton,50.65745,-126.6641667,-103.79
Midsummer,Broughton,50.65758333,-126.6630333,-186.43
Midsummer,Broughton,50.65761667,-126.6604333,-369.99
Midsummer,Broughton,50.65795,-126.6571667,-605.7
Midsummer,Broughton,50.65858333,-126.6534333,-882.16
Midsummer,Broughton,50.6589,-126.6481667,-1258.64
Midsummer,Broughton,50.6582,-126.6416167,-1725.45
Midsummer,Broughton,50.65608333,-126.6296167,-2602.44
Midsummer,Broughton,50.65178333,-126.6120167,-3918.73
Midsummer,Broughton,50.65738333,-126.6712833,390.44
Midsummer,Broughton,50.65756667,-126.668,153.5
Midsummer,Broughton,50.65791667,-126.6748,650.22
Midsummer,Broughton,50.6589,-126.6784667,949.36
Midsummer,Broughton,50.66008333,-126.6829333,1291.07
Midsummer,Broughton,50.65878333,-126.6891333,1750.46
Midsummer,Broughton,50.65815,-126.6967833,2303.46
Midsummer,Broughton,50.65848333,-126.7051167,2899.38
Midsummer,Broughton,50.65735,-126.6661833,20
Midsummer,Broughton,50.6574,-126.6663833,36.35
Midsummer,Broughton,50.65748333,-126.6670333,84.39
Bare_Bluff,Clayquot,49.32831667,-125.7987833,-20
Bare_Bluff,Clayquot,49.32848333,-125.79915,-32.46
Bare_Bluff,Clayquot,49.32873333,-125.7997333,-83.16
Bare_Bluff,Clayquot,49.3292,-125.8009167,-183.63
Bare_Bluff,Clayquot,49.32611667,-125.7998667,20
Bare_Bluff,Clayquot,49.32588333,-125.7999,46.07
Bare_Bluff,Clayquot,49.32543333,-125.7999,96.12
Bare_Bluff,Clayquot,49.32456667,-125.7998833,192.51
Bare_Bluff,Clayquot,49.33005,-125.80255,-335.39
Bare_Bluff,Clayquot,49.3314,-125.8044167,-537.76
Bare_Bluff,Clayquot,49.3337,-125.8047667,-794.82
Bare_Bluff,Clayquot,49.33685,-125.8046333,-1145.29
Bare_Bluff,Clayquot,49.34188333,-125.8010833,-1761.67
Bare_Bluff,Clayquot,49.34693333,-125.7922,-2617.32
Bare_Bluff,Clayquot,49.35961667,-125.7790667,-4320.33
Bare_Bluff,Clayquot,49.32321667,-125.7999,342.66
Bare_Bluff,Clayquot,49.32145,-125.7998,539.28
Bare_Bluff,Clayquot,49.31898333,-125.7995833,814.07
Bare_Bluff,Clayquot,49.3158,-125.79945,1168.24
Bare_Bluff,Clayquot,49.31176667,-125.7993167,1616.91
Bare_Bluff,Clayquot,49.30346667,-125.8020833,2561.67
Bedwell,Clayquot,49.26626667,-125.8129,-10
Bedwell,Clayquot,49.26656667,-125.8128833,-43.39
Bedwell,Clayquot,49.26703333,-125.8128833,-95.28
Bedwell,Clayquot,49.26791667,-125.81285,-193.56
Bedwell,Clayquot,49.2693,-125.81275,-347.58
Bedwell,Clayquot,49.27111667,-125.8127167,-549.64
Bedwell,Clayquot,49.27336667,-125.8126167,-799.98
Bedwell,Clayquot,49.27653333,-125.8126,-1152.16
Bedwell,Clayquot,49.28061667,-125.8124,-1606.53
Bedwell,Clayquot,49.28796667,-125.8106,-2434.39
Bedwell,Clayquot,49.26488333,-125.8129333,10
Bedwell,Clayquot,49.26463333,-125.81295,37.83
Bedwell,Clayquot,49.2642,-125.8129667,86.03
Bedwell,Clayquot,49.26331667,-125.8130333,184.39
Bedwell,Clayquot,49.262,-125.8133167,332.27
Bedwell,Clayquot,49.26006667,-125.8135167,547.77
Bedwell,Clayquot,49.2578,-125.8146833,813.78
Bedwell,Clayquot,49.25523333,-125.8173333,1158.31
Bedwell,Clayquot,49.25181667,-125.82105,1624.78
Bedwell,Clayquot,49.25031667,-125.8234833,1868.12
Bedwell,Clayquot,49.24885,-125.8257,2097.58
Bedwell,Clayquot,49.24705,-125.8301833,2480.5
Bedwell,Clayquot,49.24758333,-125.8446167,3533.05
Bedwell,Clayquot,49.24796667,-125.86745,5196.05
Bedwell,Clayquot,49.24825,-125.89465,7176.67
Bedwell,Clayquot,49.23333333,-125.93665,10595.27
Baxter,Clayquot,49.13228333,-125.7822833,-20
Baxter,Clayquot,49.13211667,-125.78195,-50.58
Baxter,Clayquot,49.1318,-125.7815333,-97.11
Baxter,Clayquot,49.1338,-125.78405,20
Baxter,Clayquot,49.13401667,-125.7843167,50.98
Baxter,Clayquot,49.13443333,-125.7848333,110.71
Baxter,Clayquot,49.13506667,-125.7858167,211.27
Baxter,Clayquot,49.13606667,-125.78725,363.94
Baxter,Clayquot,49.13711667,-125.7895333,567.4
Baxter,Clayquot,49.13848333,-125.7922667,818.16
Baxter,Clayquot,49.14076667,-125.7956167,1170.63
Baxter,Clayquot,49.14488333,-125.7965333,1633.31
Baxter,Clayquot,49.15081667,-125.7888833,2497.55
Baxter,Clayquot,49.15926667,-125.7823167,3552.33
Baxter,Clayquot,49.17285,-125.7732667,5200.85
Baxter,Clayquot,49.13078333,-125.7800667,-252.8
Baxter,Clayquot,49.12998333,-125.7783167,-408.45
Baxter,Clayquot,49.12893333,-125.77605,-610.94
Baxter,Clayquot,49.12766667,-125.7731,-868.23
Baxter,Clayquot,49.12656667,-125.7685833,-1219.85
Baxter,Clayquot,49.12593333,-125.7625667,-1664.6
Baxter,Clayquot,49.13141667,-125.7211167,-4715.34
Williamson,Nootka,49.65531667,-126.4326667,20
Williamson,Nootka,49.65516667,-126.4329167,44.58
Williamson,Nootka,49.6549,-126.4334333,92.24
Williamson,Nootka,49.65428333,-126.4344167,190.97
Williamson,Nootka,49.65321667,-126.43585,348.4
Williamson,Nootka,49.65198333,-126.4378833,549.34
Williamson,Nootka,49.65043333,-126.4414833,861.27
Williamson,Nootka,49.6566,-126.4290667,-20
Williamson,Nootka,49.6568,-126.4287333,-52.78
Williamson,Nootka,49.65711667,-126.4282,-104.97
Williamson,Nootka,49.6577,-126.4271,-207.52
Williamson,Nootka,49.65833333,-126.4251667,-363.87
Williamson,Nootka,49.65898333,-126.4223833,-577.45
Williamson,Nootka,49.65913333,-126.4188167,-835.5
Williamson,Nootka,49.65915,-126.4139,-1190.5
Williamson,Nootka,49.65895,-126.4073833,-1661.54
Williamson,Nootka,49.65861667,-126.3955833,-2514.33
Williamson,Nootka,49.65498333,-126.3818667,-3584.01
Williamson,Nootka,49.64621667,-126.3631833,-5248.66
Atrevida,Nootka,49.65893333,-126.4547,20
Atrevida,Nootka,49.65888333,-126.4551,49.41
Atrevida,Nootka,49.65883333,-126.4557833,99.06
Atrevida,Nootka,49.65863333,-126.4570333,192.01
Atrevida,Nootka,49.65845,-126.4591333,345
Atrevida,Nootka,49.65828333,-126.4621667,564.8
Atrevida,Nootka,49.65575,-126.4520667,-20
Atrevida,Nootka,49.65553333,-126.4518167,-50.11
Atrevida,Nootka,49.65523333,-126.4513833,-95.86
Atrevida,Nootka,49.65453333,-126.45055,-194.26
Atrevida,Nootka,49.65353333,-126.4490667,-348.67
Atrevida,Nootka,49.65235,-126.4470333,-545.85
Atrevida,Nootka,49.65105,-126.4441833,-743.03
Hatchery,Nootka,49.67945,-126.12895,
Hoiss_Point,Nootka,49.69493333,-126.5502667,
Villaverde,Nootka,49.66943333,-126.5799,
Jewitt_Cove,Nootka,49.69388333,-126.6028667,
Tahsis_Narrows,Nootka,49.86255,-126.6823,
Conception,Nootka,49.65978333,-126.4763333,-20
Conception,Nootka,49.65976667,-126.4758833,-52.54
Conception,Nootka,49.65971667,-126.4752,-102.19
Conception,Nootka,49.6596,-126.4737333,-208.88
Conception,Nootka,49.65945,-126.4716333,-361.42
Conception,Nootka,49.65938333,-126.4688833,-560.11
Conception,Nootka,49.66126667,-126.47875,20
Conception,Nootka,49.6616,-126.47875,57.07
Conception,Nootka,49.66206667,-126.4787167,109.03
Conception,Nootka,49.663,-126.4787167,212.83
Conception,Nootka,49.66436667,-126.47915,368.02
Conception,Nootka,49.66613333,-126.4801,576.13
Conception,Nootka,49.66846667,-126.4805,837.26
Conception,Nootka,49.67145,-126.4817667,1181.44
Conception,Nootka,49.67538333,-126.4846833,1666.93
Conception,Nootka,49.68543333,-126.5070167,3628.4
Conception,Nootka,49.69413333,-126.52735,5385.93